user_id,query_001,query_002,query_003,query_004,query_005,query_006,query_007,query_008,query_009,query_010,query_011,query_012,query_013,query_014,query_015,query_016,query_017,query_018,query_019,query_020,query_021,query_022,query_023,query_024,query_025,query_026,query_027,query_028,query_029,query_030,query_031,query_032,query_033,query_034,query_035,query_036,query_037,query_038,query_039,query_040,query_041,query_042,query_043,query_044,query_045,query_046,query_047,query_048,query_049,query_050,query_051,query_052,query_053,query_054,query_055,query_056,query_057,query_058,query_059,query_060,query_061,query_062,query_063,query_064,query_065,query_066,query_067,query_068,query_069,query_070,query_071,query_072,query_073,query_074,query_075,query_076,query_077,query_078,query_079,query_080,query_081,query_082,query_083,query_084,query_085,query_086,query_087,query_088,query_089,query_090,query_091,query_092,query_093,query_094,query_095,query_096,query_097,query_098,query_099,query_100
user_001,,,53,,,,57,,39,,,79,,,,,,,42,51,,,40,,,,,10,8,38,,,,,,,,,,33,,24,11,,,,,,,,37,,,,35,,63,,32,,,32,,,,,,39,45,,,,,,,,,,39,,8,,34,,,,,42,,54,51,,,,22,72,63,71,,
user_002,,,,48,,63,,,,,48,,,62,24,,,,,,,,,,5,40,,4,17,,,,,,36,,24,39,,,,22,,,,,,,11,61,,,69,,47,20,,73,,,,54,,,,,43,,44,,,,34,,,66,35,44,59,,,,,,,,,,78,48,28,,,15,,,,,,
user_003,,,,,41,,53,,,52,51,,,,,,,,79,37,,,,39,,,,,,,54,74,,49,62,,,,,,,24,,,,,,,,,65,,29,,50,,63,60,14,85,45,,,,,,,44,,,,,,,,,,19,,,73,,,,,,,,85,,,,38,36,46,,,81,,
user_004,,,,,36,,38,,,,61,,13,,36,41,35,,,16,,,57,33,42,,,4,,50,,,,,52,75,26,,,55,,,,,,,40,,,,,,,,50,,,58,48,,47,55,,,,66,25,,,,,,,,,77,,7,,,12,,47,,,,,,77,56,46,,,,,,,,34,24
user_005,,,,94,,,,,,,1,,24,,28,26,,,49,,,75,51,,,,,36,,,,,,,20,,31,44,,,67,,,,,,,,45,,43,15,15,,,,,44,73,92,21,,,,,,22,,53,,,,,,,57,,,,,,,,,,26,,,85,49,43,,,,,50,,,,
user_006,34,,,22,33,,,,,,,,51,62,,35,,,,,57,,,30,,,,29,43,32,,44,25,,,21,,,,19,,,,64,,,,,49,,,,32,,56,,63,74,51,,29,27,37,,,,53,,,34,,,,,,,,,,17,76,,44,,25,,,,76,61,,42,,,,,,,,
user_007,26,,,,30,,,,52,,59,,,49,22,,,,,50,,,47,30,,,38,,,37,52,,,,,,,8,,58,,23,58,,,,,,,,,89,,,,,55,79,25,59,58,,,,,,,,9,,,,,,,,51,,,,,,26,64,,,16,,74,,,,,,,51,,,,
user_008,,,,,24,,,,,,46,82,,,36,56,,,55,,50,62,64,10,16,34,,,,21,,48,,,38,,,,,,,,60,,,,,,,,,84,45,,60,,46,69,39,94,,,,,,,33,,,,,63,57,,,,,37,,56,30,,,,36,61,,,84,32,25,,,30,,57,,80,,
user_009,38,,,,25,,,,,,42,,,,49,28,,,,37,,23,,15,,60,,30,16,,,,,,69,,,5,,47,,,,,,,,46,11,,,76,,,,,72,,74,39,46,,,,,,49,30,25,,,,,,,,,33,,63,,,,,,63,,,79,29,,,,25,,30,78,,,
user_010,,,,24,,,63,,,32,19,,,,45,,,,74,,,,42,,21,14,,17,,28,46,,,,,,,8,,,79,,,,63,,,,5,,58,,,,,,49,,,,,24,,,,,25,,40,,,,,,,,,,,,66,,,,,53,,,84,43,,,,,,71,,79,,
user_011,50,32,,,,,59,,,,,,,59,,42,,,45,,,,,21,,,,55,43,49,,47,,,52,,,57,,,,23,,,,,,,14,32,,,,27,47,,38,,,,,,28,,,,35,50,33,26,,,,,,,,,,,,76,42,,,,,,83,,,,,33,,70,,,,13
user_012,,,,,26,,,,,,,,,52,,22,59,,,28,,73,48,45,6,47,,,,,,42,,,,,,18,67,,,79,,,,,,42,,,67,,53,,,,50,75,,85,45,,,,,,,,,,,,,,,,49,,,,,,46,,,49,,,,48,,,30,,,64,52,,,
user_013,49,,,,,,27,,,,36,,,,,,,,,,,35,63,,14,,,19,,,,69,,,12,,,42,,20,78,25,,,40,,,,29,,,,21,,,,,68,26,,,,51,,,,,,30,,,,,,,74,,9,,,,,,,,49,,44,78,67,,,32,24,,72,,,,
user_014,,,,27,,,48,,,,,43,,,,,,,,17,,20,,20,,,,,12,,,75,,,,,,42,,24,,63,49,,,,,,,,,,54,,,,,49,63,,,27,,,,,,,55,,,,,,,80,44,,,,,,43,,,41,87,,77,38,48,,,35,,,74,,,
