user_id,query_001,query_002,query_003,query_004,query_005,query_006,query_007,query_008,query_009,query_010,query_011,query_012,query_013,query_014,query_015,query_016,query_017,query_018,query_019,query_020,query_021,query_022,query_023,query_024,query_025,query_026,query_027,query_028,query_029,query_030,query_031,query_032,query_033,query_034,query_035,query_036,query_037,query_038,query_039,query_040,query_041,query_042,query_043,query_044,query_045,query_046,query_047,query_048,query_049,query_050,query_051,query_052,query_053,query_054,query_055,query_056,query_057,query_058,query_059,query_060,query_061,query_062,query_063,query_064,query_065,query_066,query_067,query_068,query_069,query_070,query_071,query_072,query_073,query_074,query_075,query_076,query_077,query_078,query_079,query_080,query_081,query_082,query_083,query_084,query_085,query_086,query_087,query_088,query_089,query_090,query_091,query_092,query_093,query_094,query_095,query_096,query_097,query_098,query_099,query_100
user_001,,55,,,15,,,79,66,16,,,,,,,,,,41,,,,,,,30,,,,,32,,48,,,63,,,,,,,72,,,,,,43,,,,,,,72,,,,,,,,,31,,,,69,,,55,,,,,,42,59,,,,72,39,,,,,,25,64,26,,52,,90,73,17,24
user_002,,,,31,,64,,,,,,53,,,,,,,,39,56,22,,,,17,7,55,,,,14,,48,,31,55,,68,63,,,5,67,,,,,,,,,,41,22,,87,83,,,,,,,,,,,,64,,,,,,,79,51,76,,,,,,,44,,50,,46,26,28,,,84,15,,,,26
user_003,56,4,,56,41,77,,81,,,,,,,50,,,,,,,,23,,20,,21,,42,,,,,,,,,,,,,68,,68,,29,,38,67,71,,,,,,,74,,,,,,17,53,39,,,,34,50,,,80,,,26,88,,68,65,,,,,25,,,,,,,,12,65,70,64,,,,30
user_004,40,,,52,33,37,,70,71,23,,,,,,43,,,,35,60,,,,26,,39,,23,,,,,30,,,,58,68,,,,,66,,,,,36,31,,,65,,21,44,,,31,,,,,,,53,54,,,47,,,47,,,31,85,,,,,55,,29,26,,78,,43,35,11,22,,,41,,,,,
user_005,74,25,,65,,63,,81,61,16,,74,,,,,,,,,,39,,,30,,,,,,,48,,27,,,50,,36,,,,6,80,,,20,,,,11,,,,,,,,,,,,20,,,63,,,,52,,,,,,,90,,,,,,,37,28,,,,,,35,,,64,43,57,76,,,56
user_006,,47,,,,43,,75,,22,,79,,,20,,,16,,40,30,26,,,35,19,,,,,,,,,,,46,,71,,,,,72,,,,46,71,31,,,,34,,,85,79,,,,,,,,30,,,,71,,,63,,,30,,10,72,64,35,,,16,37,,38,19,,61,,52,,,58,15,81,76,53,59
user_007,,5,,48,39,,,78,69,39,,13,,,25,,,,,27,,,,,42,53,,,,,74,,,,,55,62,,,41,,,,72,,,,,,,,,,55,,,78,,,,,17,,,86,82,,,66,58,,,43,,,,,,,40,60,,,14,,,,49,,51,,,,,53,57,83,,32,10
user_008,,,,,,,,80,46,52,,,,,45,37,,,,32,59,32,,,27,,,,,,76,,,37,,,,,52,,,,,80,,,,,,,,,,72,,,85,68,,47,20,,17,,35,,,25,,69,82,,,,,,,44,,,,60,,63,,,,52,,,16,22,,,,,,,,
user_009,50,54,,,13,,,79,40,39,,51,,,41,51,,,34,32,,,,,16,,,,,17,,,,,,,,,57,,,58,,69,,,,,31,,,,,,,,88,,41,19,17,43,28,29,23,,,,,74,,85,,,,,,,39,55,,,55,60,,,61,,36,52,,7,,,54,,,76,6,53
user_010,,,,65,,,,,,,,,,33,,,,,49,58,58,,,,30,,,,,,,,,25,,53,65,,51,,,,,76,,,,,,,,,,,23,52,72,80,,,34,,13,,,,,,,,,,51,36,,16,88,47,52,,,,,74,,,,,14,42,21,,,,,5,,80,49,
user_011,39,,,72,,,,74,67,,,60,,,38,27,31,65,,26,57,32,,,,,,,,,79,57,,,,20,,,37,42,,,,,,,,,77,,,41,,,,35,85,83,,45,,,36,,41,31,,,44,62,,,65,,,,94,,,,,,,52,,,,,10,,,62,,,72,,84,77,,
user_012,51,58,,71,,34,,,,,,6,,,,19,,,50,,,46,,,,,14,,61,,,,,29,,50,66,,63,,,,,69,,57,,,,60,,18,,,,60,74,,,,,13,11,98,,76,,37,,,,76,67,20,50,,81,,,42,43,,,67,46,,53,,29,,,,,68,40,84,69,,31,
user_013,,,,40,,65,33,81,48,33,,71,,8,33,56,,,,,,34,,,21,24,,,,,,32,,28,,,67,,38,,,,46,,,,,,21,,,41,,,,37,,53,,,14,,7,70,77,33,,,,,,,42,,,,,,,,,29,,37,37,41,91,13,,,,55,,,49,26,,,39,37
user_014,54,10,73,,,,,72,41,,,29,,,,49,36,,,,,,,,44,16,38,,,,,,,,,,,,34,,,,,,54,,,,,,,,,66,,48,72,52,,,23,,35,76,75,,,58,,51,,,,,39,,,,77,,59,,,17,,,,,,51,38,,15,,,,,71,21,59
user_015,57,,51,40,15,52,,87,56,44,,,59,,,,,,29,,,27,,,29,,,,,,80,,,,55,,,,73,,,,,,,,,,,,,,,,,22,87,81,,,,,21,88,,70,,9,,51,79,,58,56,,,,,74,,,,,,30,,,24,7,,,19,,,73,4,,,16,14
user_016,,,,47,42,74,,74,64,,,8,,28,17,,,,,,47,,,,32,,62,,,,,28,,18,,7,,,56,,,,,73,,,,,,,,,,,,,73,45,,,41,,19,,49,61,,15,,71,,,51,,,,86,,,,,,,81,,,41,24,18,38,26,21,,,51,31,76,,,
user_017,43,3,,83,,68,,81,,36,,49,,55,20,,,,,30,,,,,,,,71,,,,,,41,,32,65,,,,,57,,76,,,,,,74,,,,,,,86,48,,49,,30,,9,,36,,,44,,,91,,21,,52,,,,,,54,,18,,,58,,,,,67,,,60,35,,,46,37
user_018,57,24,,54,13,36,,85,,,,,,,,,,,,8,,,,,26,,,,,,,,,,,,,,,,,,,79,,,26,,,,,,,,,,84,41,,20,,,23,35,,,,11,,,,,,,,,,,36,43,,,,44,,,,,41,56,15,50,54,,,21,,,38,17
