id,content
query_0001,Profession=statistician AND Name=Adam
query_0002,Surname=Barnes AND Name=Alison
query_0003,City=Torun AND Surname=Lopez
query_0004,City=Bucharest AND Name=Bitmap
query_0005,Age=42 AND Name=Claire
query_0006,Age=100 AND Name=Wyatt
query_0007,City=Tirana AND Surname=Davis
query_0008,Surname=Edwards AND Age=85
query_0009,Profession=homeopath
query_0010,Surname=Foster AND Age=20 AND Name=Dakota
query_0011,City=Helsinki AND Surname=Jordan AND Age=64
query_0012,Surname=Ross AND Name=Daisy
query_0013,Surname=Peterson AND Age=53
query_0014,City=Tauranga AND Surname=Long AND Age=102 AND Name=Clara
query_0015,Profession=electrician AND City=Bratislava AND Age=82
query_0016,City=Rome
query_0017,Surname=Myers AND Age=93 AND Name=Adam
query_0018,Profession=paleontologist AND Surname=Richardson
query_0019,Profession=medical technologist AND City=Lima AND Surname=Simmons
query_0020,Profession=social worker AND Name=Carson
query_0021,City=Helsinki AND Name=Abigail
query_0022,Age=56 AND Name=Bitmap
query_0023,City=Zurich AND Surname=Martin
query_0024,City=Baku AND Name=Alexis
query_0025,Profession=aircraft mechanic AND City=Stockholm AND Age=24 AND Name=Kek
query_0026,Age=84 AND Name=Giacomello
query_0027,Profession=political scientist AND Age=13
query_0028,Age=48
query_0029,City=Graz AND Name=Campbell
query_0030,City=Oslo AND Age=63
query_0031,Surname=Wright AND Age=57 AND Name=Noah
query_0032,Profession=nurse AND Surname=Parker AND Age=92 AND Name=Brooke
query_0033,Profession=web developer AND City=Nuremberg AND Surname=Jordan AND Name=Autumn
query_0034,Profession=business manager AND Name=Cameron
query_0035,City=Zurich AND Surname=Perez
query_0036,Surname=Anderson AND Age=80
query_0037,Age=76
query_0038,Surname=Parker AND Age=24
query_0039,Profession=statistician AND Name=David
query_0040,Profession=statistician AND City=Bologna AND Age=83
query_0041,City=Hamilton AND Surname=Long AND Name=Evelyn
query_0042,Surname=Murphy AND Name=Elijah
query_0043,Surname=Hayward AND Age=75 AND Name=Aria
query_0044,Profession=prisoner AND City=Odessa AND Age=34 AND Name=Harper
query_0045,Profession=aviation manager AND Age=66
query_0046,Profession=engineer AND City=Singapore
query_0047,Profession=animal trainer AND City=Moscow
query_0048,Profession=engineer AND Name=Daniel
query_0049,Profession=biomedical engineer
query_0050,Profession=antique dealer AND City=Wellington AND Age=89 AND Name=Michael
query_0051,Surname=Woods AND Age=11
query_0052,Profession=electronics engineer AND Age=47
query_0053,City=Bologna AND Age=65
query_0054,Profession=lawyer AND Age=18
query_0055,Surname=Butler AND Age=50
query_0056,City=Barcelona AND Surname=Gonzales AND Age=24 AND Name=Igor
query_0057,City=Miami AND Age=51
query_0058,Profession=social worker AND Name=Christina
query_0059,Profession=financial manager AND Age=95
query_0060,Profession=psychologist AND Age=67 AND Name=Teddy
query_0061,Profession=speech therapist AND City=Tokyo AND Age=39 AND Name=Dylan
query_0062,Profession=optometrist AND Surname=Gonzalez
query_0063,Age=87 AND Name=Daniel
query_0064,Profession=planner AND City=Shanghai
query_0065,Surname=Jordan AND Name=Amber
query_0066,Profession=banker AND City=Marseille
query_0067,Surname=Jones AND Age=76
query_0068,Surname=Smith AND Name=Ben
query_0069,Age=59
query_0070,Profession=real estate agent AND City=Madrid AND Surname=Bailey AND Age=76 AND Name=Evelyn
query_0071,Profession=teacher
query_0072,Surname=Powell AND Age=40 AND Name=Ivano
query_0073,Surname=Wallace AND Name=Alison
query_0074,Surname=Thompson AND Age=102
query_0075,City=Budapest AND Surname=Cole
query_0076,City=Dubrovnik AND Surname=Gonzalez AND Name=Olivia
query_0077,City=Venice AND Age=20
query_0078,Surname=Baker
query_0079,Profession=artist AND City=Riga AND Name=Wojchek
query_0080,Profession=pharmacist AND Age=43 AND Name=Elijah
query_0081,Surname=Morris AND Name=Alexandra
query_0082,Age=21 AND Name=Evelyn
query_0083,City=Rotterdam AND Age=38 AND Name=Filippo
query_0084,Profession=environmental scientist AND Age=98
query_0085,Profession=bookkeeper AND Surname=Taylor AND Age=33
query_0086,City=Brussels
query_0087,Surname=Howard
query_0088,City=Frankfurt AND Age=43
query_0089,City=Tauranga AND Surname=Ross AND Name=Wojchek
query_0090,Profession=fire fighter AND Age=66
query_0091,Surname=Young
query_0092,City=Bangkok AND Surname=Martin
query_0093,City=Montreal AND Surname=Rodriguez AND Age=27
query_0094,Surname=Williams AND Name=Jacob
query_0095,City=Amsterdam AND Surname=Ford AND Age=99 AND Name=William
query_0096,Surname=Evans AND Age=24
query_0097,City=Tirana AND Name=Ava
query_0098,Profession=animal trainer AND Age=51 AND Name=Madison
query_0099,Profession=dentist AND Surname=King AND Name=Samual
query_0100,City=Milan AND Name=Christian
query_0101,Profession=paleontologist AND City=Dubrovnik AND Surname=Jordan AND Age=9 AND Name=Cora
query_0102,Profession=therapist AND City=Minsk AND Surname=Evans
query_0103,Profession=financial planner AND City=Mexico City AND Surname=Collins
query_0104,Profession=marketing specialist AND Age=9
query_0105,Surname=Martinez AND Age=29
query_0106,Profession=biomedical scientist AND City=Honolulu AND Surname=Gray
query_0107,City=Seoul AND Surname=Davis
