user_id,query_01,query_02,query_03,query_04,query_05,query_06,query_07,query_08,query_09,query_10,query_11,query_12,query_13,query_14,query_15,query_16,query_17,query_18,query_19,query_20,query_21,query_22,query_23,query_24,query_25,query_26,query_27,query_28,query_29,query_30
user_01,,,,,46,37,,41,88,,81,16,,61,84,70,,,35,,,32,74,,,,,,,
user_02,,,47,,,,,,,,,,34,47,,72,77,,,,,,,,26,,76,,,58
user_03,,49,,17,69,,,,,,,65,28,33,,,,,,9,,,,,,45,,,,
user_04,48,53,16,,,,54,49,,,89,61,,78,,,,,,,,,,,,,60,,,40
user_05,,,46,36,,15,18,,,,,14,83,,,61,,,,,,,,,,35,,,,67
user_06,49,,,,46,50,,,,16,,,66,,86,72,63,,53,,,,77,,,,,76,,
user_07,,44,,,50,47,,,,30,75,35,,,,45,,,,,,22,,,,,,,41,
user_08,,49,31,,72,,,,,48,88,49,,71,,,,,,,34,,34,,32,33,,,,
user_09,,,,,74,,20,31,,,77,25,57,51,,,,68,,,,,,,31,,,,,42
user_10,,,,,50,47,,,,,78,39,29,61,,,,,,,,,38,,,,,,,
user_11,,,26,,74,19,,,,,,,72,,,65,,74,40,,,54,,,,,,,15,60
user_12,46,,,,66,38,,47,,55,76,,60,43,,,42,,,,,51,,,,62,,,,54
user_13,,,,16,40,,13,34,,,,,52,65,,49,,,,43,,74,,,,,,,,
user_14,,,,,27,13,,41,,45,80,57,59,80,,,,,,,,,,,,,,,55,
user_15,,72,,,,42,,,,,78,25,28,27,,,50,,,,,48,,,59,85,,,18,67
user_16,,58,,,36,,15,,,,,,58,,,59,,67,,,,,,,33,,,,,
user_17,,70,,,,,,,,,,,19,,,35,82,,20,,,,,,,,,,,
user_18,,,28,,,,,24,,,78,,22,55,,,,,,,,,,,,,,,,
user_19,,,32,44,33,,,45,,,,,,,,,,,,,,,,,,,57,,,46
user_20,,,15,29,30,40,,,,,,,14,52,,50,63,,,,,,,,,,72,,,
user_21,,74,,,44,,,27,,,,,66,38,,,,76,,,,,68,,,,,,,47
user_22,,,,40,,,,40,,,,24,,68,,,,,34,,,,,0,17,,31,,47,60
user_23,21,,48,,,,,51,,,,49,,,,,,68,,,,32,,,,,,,,
user_24,,65,,,43,50,,,,,,,,65,,,,,,,,,,,,,,,,
user_25,50,,,,37,,,44,87,42,76,,62,,77,36,66,72,,,56,73,52,,,1,,,,59
user_26,53,,,,62,,,,,,,,47,60,,,,,63,,,,,,,,,,,56
user_27,,,,,,,,26,,,,16,,60,,,40,,,,,,,,,,,,,65
user_28,,,,54,67,,19,32,,,,36,,,,,,,20,,,28,,,,,,,50,
user_29,,,,,71,19,,,,,,,,,80,,74,,,,55,,,,,,,,,66
user_30,,,,,71,,,,,,,,53,29,,,,,,,53,,,,,,,,,
