id,content
query_01,Surname=Washington AND Name=Elizabeth
query_02,Name=Campbell
query_03,Profession=registered nurse AND Name=Emily
query_04,Profession=architect AND City=Miami AND Name=Madison
query_05,Name=William
query_06,Profession=massage therapist AND City=Santiago AND Name=Coulomb
query_07,Age=49
query_08,Profession=prisoner AND Age=97 AND Name=Lanciotte
query_09,Profession=advertising executive AND City=Rome
query_10,Surname=Davis AND Age=55 AND Name=Daisy
query_11,Profession=software developer AND City=Honolulu
query_12,Profession=botanist AND City=Wellington
query_13,Profession=judge AND City=Belgrade AND Surname=Cook AND Age=13 AND Name=Alexandra
query_14,Age=73 AND Name=Ainsley
query_15,Profession=meteorologist AND Surname=Griffin
query_16,City=Madrid AND Age=22
query_17,Profession=adult education teacher AND Name=Alexander
query_18,Profession=lawyer AND Surname=Graham AND Age=92
query_19,Profession=environmental engineer AND Name=Autumn
query_20,Surname=Butler AND Age=87
query_21,Profession=athletic trainer AND Surname=Green
query_22,Age=88 AND Name=Finley
query_23,Profession=financial planner AND Age=67
query_24,Surname=Murphy AND Age=74 AND Name=Filippo
query_25,Profession=adult education teacher
query_26,Profession=sales representative AND Age=33
query_27,Profession=writer AND Surname=Brooks
query_28,City=Mexico City AND Surname=West AND Name=Alexis
query_29,Profession=adult education teacher AND City=Marseille
query_30,Profession=mechanical engineer AND Surname=Patterson
